Store,Dept,residual_std
12,87,732.1039971248389
12,90,321.87246162061575
12,91,390.3759886560357
12,92,768.7953134109094
12,93,94.05999469089896
12,94,500.11321201723416
12,95,863.2529490355126
12,96,9.547966018802745
12,97,151.6754731355995
12,98,87.66832881183937
13,1,1943.8120956254636
13,2,954.2381919870255
13,3,1227.7149317002531
13,4,514.7866773884016
13,5,2267.6592304078777
13,6,300.9701658884369
13,7,1659.5510052727677
13,8,403.1552144934286
13,9,863.3704954495203
13,10,552.8995916723693
13,11,500.3766636548749
13,12,122.34343726284136
13,13,576.0468533688553
13,14,422.23874958313104
13,16,718.1875915420388
13,17,206.31342253366606
13,18,1547.9060796171207
13,19,168.7959813003752
13,20,205.43722543098977
13,21,125.96301515285715
13,22,315.92173585377014
13,23,644.19016413555
13,24,391.2629787767959
13,25,593.7031777578352
13,26,313.62120205630566
13,27,125.16047137545262
13,28,132.04032541064552
13,29,159.56419475410647
13,30,131.31931656673376
13,31,306.7208686626456
13,32,389.99675286950475
13,33,259.33243292306116
13,34,434.5946982177899
13,35,159.20610925697
13,36,241.6620061670147
13,37,122.56039113951215
13,38,1201.1134306309832
13,40,826.0544692558382
13,41,239.7414150447709
13,42,163.5434029008745
13,44,144.7575380159617
13,45,21.35543141040411
13,46,503.97420294880254
13,47,589.8000682382534
13,48,473.8835983988526
13,49,333.0121221960788
13,50,242.48505018148785
13,51,589.8000682382534
13,52,176.41799898372477
13,54,41.07015383956298
13,55,722.583048361917
13,56,522.6167312423272
13,58,499.5643752392781
13,59,123.75631602561818
13,60,96.54256004326423
13,67,751.8112214394662
13,71,236.62397364786153
13,72,1841.4035586329462
13,74,489.8311315414729
13,79,1143.2555248478525
13,80,225.2293249202113
13,81,402.863894676405
13,82,681.3842602063777
13,83,117.7520312895882
13,85,167.37519486334088
13,87,341.8260195668351
13,90,2025.661960634019
13,91,932.8067265766443
13,92,3939.732927644851
13,93,951.9300493847611
13,94,1478.0966543628858
13,95,3591.5995324432765
13,96,231.5948931118087
13,97,403.5864695000019
13,98,171.45691985926203
13,99,455.42255213934584
14,1,2076.190117840069
14,2,783.7410273006551
14,3,676.4837455334591
14,4,669.018142157915
14,5,1056.0871279906232
14,6,301.17860469828923
14,7,2061.276516543345
14,8,710.187516000412
14,9,691.496585152278
14,10,380.38097542769526
14,11,714.2154374963818
14,12,130.2889638043583
14,13,707.4536746169221
14,14,516.1224468204281
14,16,1071.954428408152
14,17,396.3408184189045
14,18,1091.4876250839657
14,19,160.34465143505997
14,20,283.7192503868177
14,21,250.2314012833629
14,22,501.88306609060123
14,23,713.7646371934812
14,24,459.14616985087713
14,25,348.4853422170375
14,26,421.63626020594023
